date,price_usd,volume_btc,num_trades,source
2011-11-14,2.5058266,382186.83156394,17794,mtgox
2011-11-15,2.29676722,76420.88138084,8229,mtgox
2011-11-16,2.45775904,44208.84585145,5001,mtgox
2011-11-17,2.22584563,117276.74929082,9393,mtgox
2011-11-18,2.14117492,98135.58997612,6639,mtgox
2011-11-19,2.16862842,78301.1557857,7253,mtgox
2011-11-20,2.28287481,79731.04297345,7998,mtgox
2011-11-21,2.2335001,41727.08203628,4726,mtgox
2011-11-22,2.30746115,34208.37350606,3643,mtgox
2011-11-23,2.32399149,39998.19288475,4336,mtgox
2011-11-24,2.42433447,87264.60146372,8250,mtgox
2011-11-25,2.46803123,44404.69962338,5063,mtgox
2011-11-26,2.48132671,36118.52905117,5194,mtgox
2011-11-27,2.45666465,22727.06318349,4241,mtgox
2011-11-28,2.50617458,41261.74102113,3707,mtgox
2011-11-29,2.79125639,180531.07885847,10711,mtgox
2011-11-30,2.91198547,120145.34038867,7788,mtgox
2011-12-01,3.05361201,63864.08821884,6679,mtgox
2011-12-02,3.09623976,57494.9023996,4240,mtgox
2011-12-03,2.93428447,123022.08901196,5285,mtgox
2011-12-04,2.74878115,95222.46888122,8870,mtgox
2011-12-05,2.87124578,30884.98230522,3208,mtgox
2011-12-06,2.97693959,55599.98134889,4714,mtgox
2011-12-07,2.99716067,58122.18930894,4555,mtgox
2011-12-08,2.95050266,39933.68696972,3807,mtgox
2011-12-09,2.98995355,34385.43549919,3227,mtgox
2011-12-10,3.0366782,74305.72254094,5047,mtgox
2011-12-11,3.20128226,108223.26902697,8722,mtgox
2011-12-12,3.18146204,39899.99643688,4139,mtgox
2011-12-13,3.21296683,32658.54298942,2644,mtgox
2011-12-14,3.11785681,72477.6863362,6265,mtgox
2011-12-15,3.17062174,30094.22817568,2269,mtgox
2011-12-16,3.18443498,29868.63155921,3099,mtgox
2011-12-17,3.19091653,16479.9573619,1420,mtgox
2011-12-18,3.20024856,10793.7222536,928,mtgox
2011-12-19,3.40721369,139986.96726355,16126,mtgox
2011-12-20,3.96562383,186409.9453246,20824,mtgox
2011-12-21,3.92795111,48793.69139752,6536,mtgox
2011-12-22,3.78557743,57206.31808466,4204,mtgox
2011-12-23,3.90458734,20496.54243032,3278,mtgox
2011-12-24,3.92188706,14933.59417176,4878,mtgox
2011-12-25,4.13996994,80800.43598574,5799,mtgox
2011-12-26,4.03644144,88825.74710352,6651,mtgox
2011-12-27,4.02862564,30159.45779595,3063,mtgox
2011-12-28,4.13833092,33837.22479013,3718,mtgox
2011-12-29,4.21543274,53069.28677294,4650,mtgox
2011-12-30,4.19101158,41068.59504539,3464,mtgox
2011-12-31,4.59598464,129730.72341624,11058,mtgox
2012-01-01,5.09675666,108509.22990098,8002,mtgox
2012-01-02,5.21117032,69150.93196322,6257,mtgox
2012-01-03,4.94662687,125170.25387153,10762,mtgox
